NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
894	Koperasi Simpan Pinjam Subur Sejahtera	-	Jetis	TRUE	Simpan Pinjam	Kop. Simpan Pinjam
895	Koperasi Wanita Al Kautsar	 Jetis	Jetis	TRUE	Konsumen	Kop. Wanita
896	Koperasi Simpan Pinjam Mitra Usaha Mandiri	Jetis	Jetis	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
897	Koperasi Wanita Berkarya	Perning	Jetis	TRUE	Konsumen	Kop. Wanita
898	KSPPS Jannatul Mawa 56	Perning	Jetis	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
899	KOPERASI JASA CAKA JAYA MANDIRI	Perning	Jetis	TRUE	Jasa	Kop. Lainnya
900	Koperasi Wanita Sidorejo Sejahtera	Sidorejo	Jetis	TRUE	Konsumen	Kop. Wanita
901	Koperasi Wanita Sekar Arum	Ds. Sidorejo	Jetis	FALSE	Konsumen	Kop. Wanita
902	KSPPS Jannatul Mawa 60	Lakardowo	Jetis	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
903	Koperasi Pertanian KMDH Sumber Rejeki Wono Jaya	Ds. Lakardowo	Jetis	TRUE	Produsen	Kop. Pertanian
904	Koperasi Wanita Lakar Jaya	Desa Lakardowo	Jetis	TRUE	Konsumen	Kop. Wanita
905	Koperasi Simpan Pinjam Graha Mitra Sejahtera		Dawarblandong	FALSE	Simpan Pinjam	Kop. Simpan Pinjam
906	KJKS Amanah	Pulorejo 	Dawarblandong	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
907	Koperasi Wanita Cendoro Berseri	Desa Cendoro	Dawarblandong	TRUE	Konsumen	Kop. Wanita
908	Koperasi Pertanian KMDH Rekso Wono	Ds. Cendoro	Dawarblandong	FALSE	Produsen	Kop. Pertanian
909	Koperasi Pertanian UED	Simongagrok	Dawarblandong	TRUE	Produsen	Kop. Pertanian
910	Koperasi Pertanian KMDH Wana Simo Makmur	Ds. Simongagrok	Dawarblandong	FALSE	Produsen	Kop. Pertanian
911	Koperasi Wanita Rahayu Lestari	Desa Simongagrok	Dawarblandong	TRUE	Konsumen	Kop. Wanita
912	Koperasi Syariah Mitra Artha Mandiri	Simongagrok 	Dawarblandong	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
913	Koperasi Pertanian KMDH Wana Sumber Makmur	Ds. Sumberwuluh	Dawarblandong	FALSE	Produsen	Kop. Pertanian
914	Koperasi Wanita Sri Rejeki Indah	Desa Sumberwuluh	Dawarblandong	TRUE	Konsumen	Kop. Wanita
915	Koperasi Wanita Maju Jaya	Desa Talunblandong	Dawarblandong	TRUE	Konsumen	Kop. Wanita
916	Koperasi Wanita Sekar Arum	Ds. Cinandang 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
917	Koperasi Pertanian Bina Makmur	Gunung Sari	Dawarblandong	FALSE	Produsen	Kop. Pertanian
918	Koperasi Pertanian KMDH Arta Makmur	Ds. Gunungsari	Dawarblandong	FALSE	Produsen	Kop. Pertanian
919	Koperasi Wanita Sido Mukti	Desa Gunungsari	Dawarblandong	TRUE	Konsumen	Kop. Wanita
920	Koperasi Pertanian Sumber Rejeki Dawarblandong	Ds. Dawar	Dawarblandong	FALSE	Produsen	Kop. Pertanian
921	Koperasi Pegawai Negeri Dwija Sentosa	Dawar Belandong	Dawarblandong	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
922	Koperasi Pertanian KMDH Tani Bina Mulya	Ds. Dawarblandong	Dawarblandong	FALSE	Produsen	Kop. Pertanian
923	Koperasi Wanita Kuncup Sakura	Ds. Dawarblandong 	Dawarblandong	TRUE	Konsumen	Kop. Wanita
924	Koperasi Pegawai Negeri Jaya	Ds.Pulorejo	Dawarblandong	TRUE	Konsumen	Kop. Pegawai Negeri (KPRI)
925	Koperasi Pertanian Kopdes Jaya Makmur	Ds. Pulorejo	Dawarblandong	FALSE	Produsen	Kop. Pertanian
